position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
76,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,28966,,1,76,new,2017,1
77,4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,28474,,1,77,new,2017,1
78,5LkQpbBFgoyQm1jGlznT7p,KNOCK KNOCK - Japanese ver.,TWICE,28458,,1,78,new,2017,1
79,3Ytr1SUCUi6J3L9dRFx5iH,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Major Lazer,28351,,1,79,new,2017,1
80,2LwjA3u1bTgnhfbR4MsPxw,Because of You,Shota Shimizu,28179,,1,80,new,2017,1
81,5PF0IW8iHqOcTWAyRqiDzb,Home,Shota Shimizu,28041,,1,81,new,2017,1
82,5eqK0tbzUPo2SoeZsov04s,Bank Account,21 Savage,27733,,1,82,new,2017,1
83,7ztdl6cnbJgHRdMkKldkts,キセキ,GReeeeN,27646,,1,83,new,2017,1
84,57sk9X1fPLXRfkw74XNrmK,We Are,ONE OK ROCK,27641,,1,84,new,2017,1
85,2771LMNxwf62FTAdpJMQfM,Bodak Yellow,Cardi B,27492,,1,85,new,2017,1
86,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,27207,,1,86,new,2017,1
87,5tz69p7tJuGPeMGwNTxYuV,1-800-273-8255,Logic,27168,,1,87,new,2017,1
88,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,27115,,1,88,new,2017,1
89,0XJMS3oV6rv69jZElWweA8,Different Man,AKLO,27084,,1,89,new,2017,1
90,0albLGvYx6ftOUJ7KF0i5I,STAY TUNE,Suchmos,26698,,1,90,new,2017,1
91,7FyHSAzfTFu88aDOpOIVtH,Story of Our Life,HIRAIDAI,26565,,1,91,new,2017,1
92,494OU6M7NOf4ICYb4zWCf5,Sugar,Maroon 5,26475,,1,92,new,2017,1
93,2RobEQGaFJS8tZ0EWnCtld,鱗(うろこ),Motohiro Hata,26390,,1,93,new,2017,1
94,3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,26329,,1,94,new,2017,1
95,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,26308,,1,95,new,2017,1
96,68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore,Charlie Puth,26032,,1,96,new,2017,1
97,0eEaGQuEZo5sEuJzU5kwkW,Fire,Shota Shimizu,25900,,1,97,new,2017,1
98,5kTNsZfxTxJ3I8S7PNIrUj,呼吸,Masaki Suda,25897,,1,98,new,2017,1
99,7bJwvubZZaoGE1AGEfu8Fi,One Last Time,Ariana Grande,25857,,1,99,new,2017,1
100,0CcQNd8CINkwQfe1RDtGV6,Believer,Imagine Dragons,25766,,1,100,new,2017,1
101,1yxgsra98r3qAtxqiGZPiX,BUTTERFLY EFFECT,Travis Scott,25541,,1,101,new,2017,1
102,7swIKcU4tFRk4iFJpi12Fg,小さな恋のうた,MONGOL800,25515,,1,102,new,2017,1
103,3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),Kygo,25369,,1,103,new,2017,1
104,5A4xCfm0MybwPbAdVqoJe2,Beautiful,HIRAIDAI,25027,,1,104,new,2017,1
105,31MkGwj0SWgZaTvEt5Hgxv,What About Us,P!nk,24910,,1,105,new,2017,1
106,6vVtJoHIZIjbQAlw1TFX05,WASTED LOVE,Hiroomi Tosaka,24817,,1,106,new,2017,1
107,6jIpuClSFwyBoGTwwpkKU5,CHEER UP,TWICE,24781,,1,107,new,2017,1
108,57p8CBvPOxrvyCbn6ttl5r,Would You Ever,Skrillex,24706,,1,108,new,2017,1
109,17DfKcV1gBdfMBdzsf4NQx,Kataomoi,miwa,24664,,1,109,new,2017,1
110,1XT0cpl9g0GuRQJao2nqXd,Kanzen kankaku Dreamer,ONE OK ROCK,24626,,1,110,new,2017,1
111,22uQDAWeupUDmr3Qit0abI,夏の思い出,Ketsumeishi,24512,,1,111,new,2017,1
112,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,24339,,1,112,new,2017,1
113,2k84FgJC2Qbj8lRf0lp1Qn,はじまりの予感,Ketsumeishi,24263,,1,113,new,2017,1
114,6IghCx6jRj5VHEmXKQH2pR,Re:make,ONE OK ROCK,24212,,1,114,new,2017,1
115,5C5m0n29iXtAg5cQZt6cEN,Love ☆ Queen,E-girls,24190,,1,115,new,2017,1
116,6De0lHrwBfPfrhorm9q1Xl,Me Rehúso,Danny Ocean,24151,,1,116,new,2017,1
117,0K4Wg6Pwx0cOuJkN8xvuto,MAGIC,AAA,23807,,1,117,new,2017,1
118,31FaowDBExlcRt5DHIXOkQ,Mitakotomonaikeshiki,Masaki Suda,23789,,1,118,new,2017,1
119,3BbfgC1wM6x5TRYgAVZYi0,SIGNAL,TWICE,23676,,1,119,new,2017,1
120,1Eck97uRMlprKOOJN9oO1E,Good Life (with G-Eazy & Kehlani),G-Eazy,23640,,1,120,new,2017,1
121,2GJxT761mGTQocouI2oLTe,Jelly Jelly,TWICE,23490,,1,121,new,2017,1
122,72jbDTw1piOOj770jWNeaG,Paris,The Chainsmokers,23463,,1,122,new,2017,1
123,4v6edT4Ogf8qXGphyFfg1u,イト,Creep Hyp,23274,,1,123,new,2017,1
124,3awymLmIrvn9lkJeFpmRSf,また逢う日まで,HIRAIDAI,23004,,1,124,new,2017,1
125,1X2Zd5wKGbY1oKzb8dzJRy,Break Free,Ariana Grande,22932,,1,125,new,2017,1
126,5WEqjIUHkwZ5h3DSE7F9bM,Friend Of Mine (feat. Vargas & Lagola),Avicii,22850,,1,126,new,2017,1
127,0ijT1F143SdGb45SQB3rHk,Milk Tea,Shota Shimizu,22810,,1,127,new,2017,1
128,7tr2za8SQg2CI8EDgrdtNl,Slide (feat. Frank Ocean & Migos),Calvin Harris,22562,,1,128,new,2017,1
129,22HV45yz3qAOXQLGRAkHYK,Remember,Awich,22452,,1,129,new,2017,1
130,6IcrwGdIvRsrImOnoYfG9Z,See You Again (feat. Charlie Puth),Wiz Khalifa,22433,,1,130,new,2017,1
131,0jdny0dhgjUwoIp5GkqEaA,Praying,Kesha,22312,,1,131,new,2017,1
132,1KT0xdIjm7t053xByACrrg,美女と野獣,Ariana Grande,22304,,1,132,new,2017,1
133,3rQjCycDV0Ibadg6A1Nq45,KNOCK KNOCK,TWICE,22232,,1,133,new,2017,1
134,6875MeXyCW0wLyT72Eetmo,Starving,Hailee Steinfeld,22092,,1,134,new,2017,1
135,7yHEDfrJNd0zWOfXwydNH0,Into You,Ariana Grande,21835,,1,135,new,2017,1
136,0qYTZCo5Bwh1nsUFGZP3zn,Felices los 4,Maluma,21576,,1,136,new,2017,1
137,1dB06EmjB6NyftV1pxq6Qk,BOOMBAYAH,BLACKPINK,21207,,1,137,new,2017,1
138,1sCxVKWImDZSZKvG0U9B23,Bad Liar,Selena Gomez,21078,,1,138,new,2017,1
139,21z1GxeHjfD3qkaF5CgCTO,Silhouette,KANA-BOON,21012,,1,139,new,2017,1
140,4xBjsLUSjcx2h7PcRikpQp,OMG,Camila Cabello,20950,,1,140,new,2017,1
141,1839RWzPRZCVgvamu4sHSN,All My Love (feat. Conor Maynard),Cash Cash,20905,,1,141,new,2017,1
142,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,20786,,1,142,new,2017,1
143,5A4QP4EpcPxD5CapYSJfeV,Dirty Work,Austin Mahone,20667,,1,143,new,2017,1
144,67BbMuItfrHmaNqDxBPF7c,WHISTLE - KR Ver.,BLACKPINK,20546,,1,144,new,2017,1
145,0rduVGD3WmGciFFb6sUScg,オレンジ,GReeeeN,20389,,1,145,new,2017,1
146,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,Ed Sheeran,20020,,1,146,new,2017,1
147,33AsbevnJ1aQjEHdkMExsE,Dear Life,Beck,19927,,1,147,new,2017,1
148,5OepnJhqZoyJN8qWo2LZzy,PLAYING WITH FIRE - KR Ver.,BLACKPINK,19573,,1,148,new,2017,1
149,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,19566,,1,149,new,2017,1
150,72hy5aHFbC5U6vOF3bwpMv,どんなときも。,Sonoko Inoue,19562,,1,150,new,2017,1
151,65KlshIGPBSnlf0SWfhb40,Make Up,Yurufuwa Gang,19561,,1,151,new,2017,1
152,7fYbFYt7X4FZvuJJC90EX0,Problem,Ariana Grande,19376,,1,152,new,2017,1
153,2Gl0FzuLxflY6nPifJp5Dr,First Time,Kygo,19192,,1,153,new,2017,1
154,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,19073,,1,154,new,2017,1
155,1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,Ed Sheeran,18742,,1,155,new,2017,1
156,693iqPOQvhI7PobtR8CC8v,Bonita,J Balvin,18618,,1,156,new,2017,1
157,000xQL6tZNLJzIrtIgxqSl,Still Got Time,ZAYN,18616,,1,157,new,2017,1
158,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,18545,,1,158,new,2017,1
159,0KjILTvrVubwbbxw5Rldxq,Wiper,Suchmos,18529,,1,159,new,2017,1
160,6adHLVcdYkQRMcLAcKq5YX,THANK YOU FOR THE MUSIC - Nui!,bonobos,18456,,1,160,new,2017,1
161,7JFyFGvIXZEKdfGUiRVBTY,Darling Break Free,AmPm,18347,,1,161,new,2017,1
162,3oEekS4xhmFQ88ieCVTZ7H,Bang Bang,Jessie J,18312,,1,162,new,2017,1
163,3cjlIkGj2T8TWkBdSfEHnE,Sorry Not Sorry,Shota Shimizu,18187,,1,163,new,2017,1
164,3FiE2d325mIOc4YjkSLVJR,Everyday,Ariana Grande,17928,,1,164,new,2017,1
165,7MHN1aCFtLXjownGhvEQlF,Una Lady Como Tú,Manuel Turizo,17649,,1,165,new,2017,1
166,0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,Bruno Mars,17598,,1,166,new,2017,1
167,20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,17508,,1,167,new,2017,1
168,0XfOi87h82i09rQjWYG0Bm,Instruction (feat. Demi Lovato & Stefflon Don),Jax Jones,17454,,1,168,new,2017,1
169,6g1NlCpW7fgqDnWbCCDrHl,Wake Me Up - Radio Edit,Avicii,17390,,1,169,new,2017,1
170,3khLfnWKvEJuJLrcASCXWF,Girl,Motohiro Hata,17274,,1,170,new,2017,1
171,4Q6tJExe0LhBW6nhgEN8PC,LOVER,AAA,17248,,1,171,new,2017,1
172,0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,17247,,1,172,new,2017,1
173,7FJP35tUJ2121EJsFpU1Gh,Beautiful Now,Zedd,17193,,1,173,new,2017,1
174,2NgQV5lmGPPTTlrHXeAPJ7,Yasashisade Afureruyouni,Flower,17118,,1,174,new,2017,1
175,6FZGeOJzBQ6KI8lyqaztae,ふたりごと - 一生に一度のワープVer.,RADWIMPS,16990,,1,175,new,2017,1
176,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,Starley,16967,,1,176,new,2017,1
177,0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down,The Chainsmokers,16959,,1,177,new,2017,1
178,7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Taylor Swift,16933,,1,178,new,2017,1
179,6fxVffaTuwjgEk5h9QyRjy,Photograph,Ed Sheeran,16923,,1,179,new,2017,1
180,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,16849,,1,180,new,2017,1
181,3glfyV9FhK872pJcAtOjeI,涙のない世界,AAA,16816,,1,181,new,2017,1
182,6HUnnBwYZqcED1eQztxMBN,Solo Dance,Martin Jensen,16743,,1,182,new,2017,1
183,24ntcqBHV6PpbGLgXdkv3e,たいようの哀悼歌,Flower,16669,,1,183,new,2017,1
184,6g93YtKKHU2H1qIqhLIL0Y,Kataomoi,Aimer,16438,,1,184,new,2017,1
185,3KOAjzxIJdreRSzffGLYoa,366nichi (feat. Izumi Nakasone),Shota Shimizu,16350,,1,185,new,2017,1
186,3IIRfFYKHPYTgKHw3oJUVn,RUSH,RIRI,16332,,1,186,new,2017,1
187,4m8ayeTlVnsYAtR42NhDqZ,WanteD! WanteD!,Mrs. GREEN APPLE,16330,,1,187,new,2017,1
188,1PM8OIREXRl5lFb06852rr,You Could Be,R3HAB,16133,,1,188,new,2017,1
189,315z5bDr8oJ0OAxD3jQZmH,ひまわりの約束,Motohiro Hata,16131,,1,189,new,2017,1
190,7omUuXZu2DVHqYRUkdOENh,君と羊と青,RADWIMPS,16125,,1,190,new,2017,1
191,2SivUkzgql54t0O4dH1b7O,Like OOH-AHH,TWICE,16045,,1,191,new,2017,1
192,7bmdV1IiqeCIK1Lb3klDVV,Taking Off,ONE OK ROCK,15936,,1,192,new,2017,1
193,5RGf8qn1TBWVplLyyKUsuV,Blood Sweat & Tears,BTS,15851,,1,193,new,2017,1
194,26b8AQqACTxOEWpEejMPLY,Aitai,Miliyah,15824,,1,194,new,2017,1
195,2GLp1Arz4ZtihdjdL9m80W,愛してるのに、愛せない,AAA,15616,,1,195,new,2017,1
196,5w6TVvv71F8px5cObg2xnx,Good Time,Owl City,15456,,1,196,new,2017,1
197,2JrFLSgCKWRuLfRTwemuKU,Ittekinoeikyou,UVERworld,15433,,1,197,new,2017,1
198,3zielyGhYKYzWSdzSxfYoO,Damage,Shota Shimizu,15415,,1,198,new,2017,1
199,2wAf64UF5cK7mlAUfvVPl9,Tda'''Aitakute,EXILE,15378,,1,199,new,2017,1
200,2cnKEkpVUSV4wnjQiTWfH6,Escápate Conmigo,Wisin,15351,,1,200,new,2017,1
1,7pcTLUekZJQnzDOUDuExVJ,打上花火,DAOKO,153405,3.0,2,1,2,2017,2
2,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,146965,2.0,2,2,0,2017,2
3,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,136061,1.0,2,1,-2,2017,2
4,7nZmah2llfvLDiUjm0kiyz,Friends (with BloodPop®),Justin Bieber,107646,4.0,2,4,0,2017,2
5,5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,Luis Fonsi,101879,5.0,2,5,0,2017,2
6,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),David Guetta,86844,6.0,2,6,0,2017,2
7,0NiXXAI876aGImAd6rTj8w,Mama,Jonas Blue,86226,8.0,2,7,1,2017,2
8,5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,85961,9.0,2,8,1,2017,2
9,2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,83739,11.0,2,9,2,2017,2
10,3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,79376,7.0,2,7,-3,2017,2
11,6WbADFqMvR8N5u0BvtsWQE,Without You (feat. Sandro Cavazza),Avicii,78852,10.0,2,10,-1,2017,2
12,25C5CowdsfXld2jJanbiex,Sorry Not Sorry,Demi Lovato,75494,13.0,2,12,1,2017,2
13,4iLqG9SeJSnt0cSPICSjxv,Attention,Charlie Puth,74111,14.0,2,13,1,2017,2
14,4mxWSdf71VFO52qFeY0fZt,What Lovers Do (feat. SZA),Maroon 5,73071,,1,14,new,2017,2
15,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,Shawn Mendes,72518,19.0,2,15,4,2017,2
16,0PAyiPTz8gL0udQnSasc5G,TT - Japanese ver.,TWICE,71996,12.0,2,12,-4,2017,2
17,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,70830,16.0,2,16,-1,2017,2
18,4c2W3VKsOFoIg2SFaO6DY5,Your Song,Rita Ora,70635,20.0,2,18,2,2017,2
19,0ofbQMrRDsUaVKq2mGLEAb,Havana,Camila Cabello,69506,22.0,2,19,3,2017,2
20,2rb5MvYT7ZIxbKW5hfcHx8,Mi Gente,J Balvin,69060,17.0,2,17,-3,2017,2
21,1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,68189,15.0,2,15,-6,2017,2
22,2gasr6aemUqZIBBN05EO03,My Boo,Shota Shimizu,65977,23.0,2,22,1,2017,2
23,0dA2Mk56wEzDgegdC6R17g,Stay (with Alessia Cara),Zedd,64550,21.0,2,21,-2,2017,2
24,3B54sVLJ402zGa6Xm4YGNe,Unforgettable,French Montana,62569,18.0,2,18,-6,2017,2
25,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,62208,25.0,2,25,0,2017,2
26,7vGuf3Y35N4wmASOKLUVVU,Silence,Marshmello,60956,33.0,2,26,7,2017,2
27,7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,60468,,1,27,new,2017,2
28,3PEgB3fkiojxms35ntsTgs,More Than You Know,Axwell /\ Ingrosso,60093,24.0,2,24,-4,2017,2
29,0YAMQSmHk6BSUGTYpaoqTJ,Wherever you are,ONE OK ROCK,59732,30.0,2,29,1,2017,2
30,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,Lauv,58398,28.0,2,28,-2,2017,2
31,2OALaHcDdKkjYEpAr0Qzab,Lonely Together (feat. Rita Ora),Avicii,58350,27.0,2,27,-4,2017,2
32,4m8ayeTlVnsYAtR42NhDqZ,WanteD! WanteD!,Mrs. GREEN APPLE,57932,187.0,2,32,155,2017,2
33,0aFUi8kAIUcLEaM6LylNui,RAIN,SEKAI NO OWARI,57838,32.0,2,32,-1,2017,2
34,6EpRaXYhGOB3fj4V2uDkMJ,Strip That Down,Liam Payne,57029,26.0,2,26,-8,2017,2
35,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,56515,31.0,2,31,-4,2017,2
36,46gSY0U7ZZCmd7EuJuo15N,恋音と雨空,AAA,52043,39.0,2,36,3,2017,2
37,6PO8T4qt3FHfauSs98zO9j,Dream,Shota Shimizu,51927,42.0,2,37,5,2017,2
38,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,50707,40.0,2,38,2,2017,2
39,7aF09WaavZAmAWuUeYxlYD,Rich Love (with Seeb),OneRepublic,50256,49.0,2,39,10,2017,2
40,3HVr6jTVwBHBa2flM0eURR,Glorious (feat. Skylar Grey),Macklemore,50224,37.0,2,37,-3,2017,2
41,3pzjHKrQSvXGHQ98dx18HI,What Do You Mean?,Justin Bieber,48155,41.0,2,41,0,2017,2
42,6jA8HL9i4QGzsj6fjoxp8Y,There for You,Martin Garrix,47793,38.0,2,38,-4,2017,2
43,1CKd1PnqfYx0H12V9MSaIY,Get Low (with Liam Payne),Zedd,47615,46.0,2,43,3,2017,2
