,year_release,song_name,artist_name,popularity,danceability,energy,duration_ms,valence,interval
7291,2018,Me Refez,['Priscilla Alcantara'],48,0.717,0.451,223189,0.337,2015-2019
12971,2017,Terrain,['Booba'],0,0.913,0.772,149746,0.633,2015-2019
13402,2019,La Boca - Remix,"['Mau y Ricky', 'Camilo', 'Lunay']",79,0.691,0.773,188467,0.85,2015-2019
9017,2019,ハゼ馳せる果てるまで,['ZUTOMAYO'],53,0.759,0.961,244706,0.728,2015-2019
6027,2017,Praying,['Kesha'],13,0.565,0.381,230269,0.325,2015-2019
8230,2016,Badlands,"['Alyssa Reid', 'Likewise']",33,0.587,0.807,196813,0.221,2015-2019
10904,2017,Stay Blessed,['Bryson Tiller'],48,0.526,0.485,246040,0.288,2015-2019
322,2019,Não sou obrigada,['POCAH'],72,0.819,0.951,148340,0.963,2015-2019
4366,2019,Batman (feat. Jamule),"['Kool Savas', 'Jamule']",49,0.804,0.747,145248,0.559,2015-2019
8365,2017,LUST.,['Kendrick Lamar'],65,0.678,0.562,307880,0.566,2015-2019
1916,2019,Muerte,"['Landy', 'Dadju']",62,0.757,0.722,195093,0.473,2015-2019
11045,2019,Mary,['Bausa'],68,0.652,0.702,158282,0.82,2015-2019
9924,2018,(Fuck A) Silver Lining,['Panic! At The Disco'],65,0.577,0.939,168613,0.714,2015-2019
494,2018,Paul - Skit,['Paul Rosenberg'],62,0.636,0.335,35240,0.561,2015-2019
7795,2017,Keene Probleme,"['Savas', 'Sido']",0,0.588,0.781,228731,0.507,2015-2019
2168,2019,4 Phones,['Rich The Kid'],0,0.926,0.523,217338,0.205,2015-2019
9516,2018,Singles You Up,['Jordan Davis'],73,0.491,0.907,182666,0.631,2015-2019
11729,2019,Nur ein Grund (feat. Jah Khalib),"['Kontra K', 'Jah Khalib']",5,0.729,0.651,192900,0.361,2015-2019
6163,2019,Machigaisagashi,['Masaki Suda'],32,0.555,0.653,221146,0.434,2015-2019
6293,2017,Va te faire foutre,['Jul'],38,0.842,0.637,173520,0.862,2015-2019
12601,2018,Areia,"['Sandy', 'Lucas Lima']",48,0.358,0.209,223579,0.106,2015-2019
1157,2019,Ouh Hey,"['100 Blaze', 'RK']",41,0.865,0.545,207093,0.166,2015-2019
10,2017,Sharp Edges,['Linkin Park'],63,0.652,0.714,178200,0.624,2015-2019
9980,2018,Buzina,['Pabllo Vittar'],58,0.766,0.888,137422,0.69,2015-2019
3121,2018,Viens dans mon 93,"['Dinos', 'Hornet La Frappe', 'Sofiane']",24,0.567,0.716,203226,0.419,2015-2019
476,2019,Warnung,['Kontra K'],6,0.718,0.79,194307,0.605,2015-2019
6750,2017,2 fois plus,['Hornet La Frappe'],35,0.829,0.305,197520,0.248,2015-2019
8477,2018,On est prêt,['Niro'],44,0.815,0.589,189333,0.323,2015-2019
2718,2019,All The Lies,"['Alok', 'Felix Jaehn', 'The Vamps']",69,0.611,0.835,179456,0.672,2015-2019
6401,2017,CCNDNA,"['Bushido', 'Fler']",0,0.796,0.587,187226,0.215,2015-2019
8914,2018,Sombre mélodie,['La Fouine'],35,0.81,0.728,230613,0.595,2015-2019
8617,2018,RAINBOW,"['J SOUL BROTHERS III', 'Yellow Claw']",48,0.491,0.84,210640,0.293,2015-2019
6961,2018,Rhumance,['Vald'],40,0.52,0.775,185060,0.651,2015-2019
3644,2019,Goddamn (feat. A Boogie wit da Hoodie),"['Tyga', 'A Boogie Wit da Hoodie']",68,0.951,0.573,211039,0.42,2015-2019
7656,2019,Malade,"['Naps', 'AM La Scampia']",46,0.804,0.836,216040,0.678,2015-2019
3940,2018,Only Thing We Know,"['Alle Farben', 'Younotus', 'Kelvin Jones']",57,0.862,0.703,173386,0.591,2015-2019
3264,2017,Sober II (Melodrama),['Lorde'],59,0.524,0.312,178639,0.101,2015-2019
10123,2017,Relationship (feat. Future),"['Young Thug', 'Future']",82,0.842,0.597,215306,0.298,2015-2019
5331,2018,Goodbyes,['Jorja Smith'],1,0.492,0.185,230929,0.353,2015-2019
13211,2017,wokeuplikethis*,"['Playboi Carti', 'Lil Uzi Vert']",76,0.785,0.62,235535,0.478,2015-2019
757,2017,Chambea,['Bad Bunny'],7,0.854,0.868,191999,0.631,2015-2019
2295,2018,Karma (feat. Diamond Deuklo),"['Gringe', 'Diamond Deuklo']",37,0.525,0.774,228573,0.374,2015-2019
9199,2019,Cinema,"['RAF Camora', 'Gallo Nero']",52,0.76,0.651,222367,0.262,2015-2019
2078,2017,Conor McGregor,"['Azad', 'CALO']",48,0.414,0.685,224760,0.2,2015-2019
7756,2018,Adan y Eva,['Paulo Londra'],77,0.767,0.709,258638,0.72,2015-2019
8593,2019,Daye,['Fero47'],54,0.627,0.711,183693,0.49,2015-2019
5769,2017,Legendary,['Welshly Arms'],6,0.529,0.63,230696,0.427,2015-2019
12558,2019,恋をしたから,['Aimyon'],52,0.399,0.184,269253,0.364,2015-2019
5758,2016,Oh My (feat. Jenna McDougall),"['Illy', 'Jenna McDougall']",41,0.699,0.709,210921,0.525,2015-2019
3298,2017,Bravo,['MHD'],34,0.823,0.779,221360,0.866,2015-2019
12901,2017,Déstabilisé,['Djadja & Dinaz'],0,0.763,0.519,256226,0.332,2015-2019
4854,2019,Paredão,"['MC Kevinho', 'Dadá Boladão', 'MC JottaPê']",76,0.744,0.794,133333,0.717,2015-2019
6889,2017,The Other Side,"['Hugh Jackman', 'Zac Efron']",74,0.638,0.795,214373,0.31,2015-2019
1807,2017,WASTED LOVE,['Hiroomi Tosaka'],31,0.613,0.907,207435,0.652,2015-2019
10850,2018,Victoria's Secret,['Cro'],50,0.572,0.567,250527,0.473,2015-2019
7317,2019,Intermission,['Catfish and the Bottlemen'],47,0.483,0.136,107786,0.0886,2015-2019
4389,2019,Draft Day,['Drake'],58,0.673,0.81,266325,0.564,2015-2019
5514,2019,Property Picking,['Fredo'],45,0.855,0.504,193333,0.429,2015-2019
11795,2019,L'hymne de nos campagnes 2019,"['Tryo', 'Bigflo & Oli', 'Claudio Capéo', 'Gauvain Sers', 'Boulevard des Airs', 'L.E.J', 'Vianney', 'Zaz']",59,0.816,0.688,186025,0.802,2015-2019
3639,2018,Reborn To Rebel,['Ski Mask The Slump God'],57,0.792,0.673,151600,0.743,2015-2019
6194,2018,Ewigkeit,['Majoe'],56,0.545,0.613,183506,0.494,2015-2019
3630,2015,Broken Arrows,['Avicii'],9,0.634,0.674,232760,0.298,2015-2019
815,2018,UFF,"['Veysel', 'Gzuz']",59,0.815,0.828,167626,0.311,2015-2019
11595,2019,Walking (feat. Swae Lee & Major Lazer),"['88rising', 'Joji', 'Jackson Wang', 'Major Lazer', 'Swae Lee']",67,0.701,0.663,167080,0.334,2015-2019
876,2016,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",['Justin Hurwitz'],0,0.429,0.188,96893,0.184,2015-2019
13778,2018,Chasing Fire - Robin Schulz Remix,"['Lauv', 'Robin Schulz']",55,0.607,0.717,217678,0.376,2015-2019
2522,2019,Unsainted,['Slipknot'],13,0.427,0.944,260276,0.248,2015-2019
8293,2019,kOMm zU hYPnOTizE,['Dardan'],52,0.806,0.727,188000,0.713,2015-2019
5368,2018,Who Mad Again (feat. Bamby),"['Jahyanai King', 'Bamby']",25,0.942,0.663,202352,0.648,2015-2019
8094,2018,Plug Walk,['Rich The Kid'],6,0.876,0.519,175229,0.158,2015-2019
11227,2017,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"['Tyler, The Creator', 'Frank Ocean', 'Steve Lacy']",73,0.48,0.61,255653,0.297,2015-2019
4519,2019,SHUM SHUM,"['GENT', 'Noizy']",43,0.726,0.713,138103,0.592,2015-2019
12051,2018,Setz Dich (feat. AK Ausser Kontrolle & Gzuz),"['Kontra K', 'AK Ausserkontrolle', 'Gzuz']",2,0.517,0.738,265853,0.711,2015-2019
5910,2017,J.S.B. HAPPINESS,['J SOUL BROTHERS III'],0,0.505,0.946,324533,0.238,2015-2019
2996,2018,100,"['Bonez MC', 'RAF Camora', 'Trettmann', 'KitschKrieg']",58,0.703,0.464,218632,0.726,2015-2019
1881,2019,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]","['Ed Sheeran', 'Jaykae', 'Aitch', 'Stormzy']",62,0.851,0.667,232150,0.596,2015-2019
4034,2019,V2V,['PLK'],45,0.637,0.771,204960,0.498,2015-2019
10003,2018,Cheetah Tongue,['The Wombats'],48,0.525,0.968,219481,0.591,2015-2019
13747,2018,This Feeling,"['The Chainsmokers', 'Kelsea Ballerini']",80,0.575,0.571,197946,0.449,2015-2019
4942,2019,Highspeed,"['Data Luv', 'Ufo361']",46,0.756,0.846,161564,0.227,2015-2019
2470,2017,New Year’s Day,['Taylor Swift'],63,0.661,0.151,235466,0.23,2015-2019
6549,2018,CLOSE (feat. Travis Scott) - From SR3MM,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi', 'Travis Scott']",66,0.691,0.736,193510,0.0395,2015-2019
10955,2017,Mamacita,['Ninho'],44,0.779,0.724,187026,0.559,2015-2019
9164,2017,Lass uns gehen (feat. KC Rebell),"['Majoe', 'KC Rebell']",40,0.728,0.681,183391,0.445,2015-2019
13052,2017,Rx (Medicate),['Theory of a Deadman'],71,0.639,0.71,233173,0.378,2015-2019
13731,2019,Don't Forget to Breathe (feat. Yebba) [Interlude],"['Stormzy', 'Yebba']",60,0.388,0.215,141360,0.283,2015-2019
11034,2017,Mademoiselle,['Capital Bra'],47,0.834,0.657,169693,0.482,2015-2019
1216,2019,Screwface Capital,['Dave'],65,0.914,0.56,253093,0.427,2015-2019
13056,2017,Magnum,['Niro'],0,0.884,0.578,154080,0.208,2015-2019
13833,2019,Elle est bonne sa mère,"['Vegedream', 'Ninho']",61,0.783,0.732,197925,0.46,2015-2019
12060,2017,Letzte Liebe,['Prinz Pi'],53,0.59,0.723,214506,0.352,2015-2019
782,2018,Thru These Tears,['LANY'],6,0.711,0.517,204515,0.294,2015-2019
4680,2017,Never Be the Same,['Camila Cabello'],66,0.643,0.709,227087,0.264,2015-2019
6733,2019,Mágica - Ao Vivo,"['Matheus & Kauan', 'Gusttavo Lima']",73,0.568,0.698,161597,0.534,2015-2019
8359,2017,1-800-273-8255,"['Logic', 'Alessia Cara', 'Khalid']",81,0.62,0.574,250173,0.352,2015-2019
3915,2017,Woman,"['Kesha', 'The Dap-Kings Horns']",3,0.743,0.765,196360,0.338,2015-2019
13554,2019,Fashion Week (feat. AJ Tracey & MoStack),"['Steel Banglez', 'AJ Tracey', 'MoStack']",70,0.694,0.757,201998,0.703,2015-2019
1349,2017,Pineapple Skies,['Miguel'],63,0.654,0.587,281360,0.288,2015-2019
11163,2019,Temptation,['Future'],52,0.66,0.55,167672,0.299,2015-2019
683,2019,Just Might (with PARTYNEXTDOOR),"['Summer Walker', 'PARTYNEXTDOOR']",66,0.69,0.377,205733,0.18,2015-2019
306,2017,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)","['Felix Jaehn', 'Hearts & Colors', 'Adam Trigger']",5,0.811,0.655,179565,0.509,2015-2019
13693,2018,Solteiro Nunca Está Só,"['MC Kekel', 'Dani Russo', 'DJ RD']",39,0.839,0.545,147692,0.545,2015-2019
13878,2017,First Time,"['Kygo', 'Ellie Goulding']",70,0.633,0.592,193511,0.679,2015-2019
8204,2018,点描の唄,"['Mrs. GREEN APPLE', 'Sonoko Inoue']",70,0.502,0.632,307066,0.308,2015-2019
2267,2017,Baron,['Bausa'],60,0.663,0.593,250012,0.123,2015-2019
7530,2016,Amnésie,['Damso'],0,0.574,0.551,213653,0.596,2015-2019
4928,2018,KOODA,['6ix9ine'],0,0.889,0.649,142582,0.169,2015-2019
9096,2017,Baby,['Bakermat'],65,0.708,0.922,160053,0.637,2015-2019
330,2017,Love$ick (feat. A$AP Rocky),"['Mura Masa', 'A$AP Rocky']",7,0.672,0.764,192160,0.763,2015-2019
10227,2017,Uh Huh,['Julia Michaels'],0,0.763,0.673,177840,0.554,2015-2019
9429,2019,Roller,['Apache 207'],77,0.941,0.758,157093,0.683,2015-2019
9658,2017,Mended,['Vera Blue'],3,0.379,0.537,305120,0.0762,2015-2019
